name,ra,dec,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,yAperMag3_AB,yAperMag3Err_AB
SDSS J095440.35-004824.2,148.6681617274315,-0.8067454090294229,19.622374,0.03539141,18.506926,0.021386199,18.105501,0.012282159,17.932384,0.011813661,17.870594,0.021173669,17.9382,0.022710593
SDSS J095440.91-004836.6,148.6704597311544,-0.8101943426136871,21.410934,0.12596253,18.982883,0.022098312,17.52952,0.011573865,16.645807,0.01043548,16.138933,0.012849161,16.0066,0.005372633
SDSS J095510.14-004918.4,148.7922649454478,-0.8217941894645916,18.335955,0.021992456,16.985523,0.020599684,16.468187,0.011017941,16.277544,0.010296354,16.182089,0.012908371,16.1844,0.0054695527
SDSS J095446.00-004840.1,148.69169280324627,-0.8111633939947889,20.740778,0.07369586,19.847107,0.024996921,19.590971,0.019313153,19.453522,0.021246431,19.396193,0.06821582,19.6726,0.1032046
SDSS J095507.43-004929.4,148.78099166868938,-0.8248515510713322,18.893604,0.025764642,17.754038,0.020838412,17.39836,0.011429909,17.267326,0.010853184,17.22986,0.01638224,17.2718,0.011094733
SDSS J095507.43-004659.2,148.7809777897349,-0.7831358752230416,18.777262,0.024800142,16.911188,0.020585755,16.241032,0.010963912,16.007189,0.01022362,15.898331,0.012524056,15.8832,0.0044589317
SDSS J095456.21-004521.2,148.73423772819856,-0.7558975230466852,20.303679,0.054160964,18.471855,0.021349503,17.73032,0.011707469,17.431192,0.011028596,17.265358,0.016655186,17.2475,0.013138205
SDSS J095456.45-004839.8,148.73521504672493,-0.8110608418817524,18.906906,0.025821777,17.647282,0.020792795,17.162851,0.011292933,16.999498,0.010634218,16.936956,0.014925529,16.9759,0.010635804
SDSS J095458.10-004926.4,148.7421176616541,-0.8240146693529747,21.086773,0.09656978,19.996552,0.026264362,19.59328,0.018456096,19.527357,0.021914821,19.564213,0.078440584,19.4544,0.085309766
SDSS J095509.32-005004.4,148.78884811594793,-0.8345673503332499,21.695986,0.16068362,20.322367,0.02922726,19.771759,0.020549975,19.54943,0.022219274,19.38019,0.06694395,19.446,0.06341925
SDSS J095444.92-004950.2,148.68717228048666,-0.8306145292045466,21.566525,0.14265808,20.271065,0.029231634,19.615715,0.020370476,19.378586,0.021944394,19.30513,0.06610525,19.1124,0.046371445
SDSS J095556.08-004812.9,148.9836741260741,-0.8036098790729919,19.995173,0.04469795,17.742533,0.014051306,16.792398,0.013813187,16.435709,0.0155019155,16.224918,0.017802108,16.4294,0.0062897424
SDSS J095557.48-004929.8,148.98953343001563,-0.8249552992720353,19.198727,0.029866295,17.824137,0.014109819,17.256319,0.013987058,17.023865,0.015715709,16.916105,0.019238092,16.8773,0.008315388
SDSS J095450.58-004607.3,148.71076836773258,-0.7687184919074268,21.25246,0.11125359,20.179,0.027782576,19.673807,0.01963444,19.494444,0.021464808,19.268976,0.061121933,19.389,0.08038465
SDSS J095453.70-004925.0,148.7237793958083,-0.8236145539081327,20.56453,0.0645458,19.480837,0.023486434,19.02425,0.0149052935,18.89136,0.01564795,18.837599,0.043030813,18.8398,0.04928806
SDSS J095454.05-004520.3,148.72524910499297,-0.7556427786596163,20.686453,0.07136958,19.663921,0.024260651,19.297306,0.016407432,19.112728,0.017325772,19.134195,0.05466453,19.1165,0.06331554
SDSS J095617.02-004948.8,149.07092086493668,-0.8302342313310246,19.648806,0.036218587,17.696356,0.014035921,16.891361,0.013844277,16.622177,0.015559748,16.446005,0.018119512,16.4336,0.006417238
SDSS J095618.86-004559.9,149.07861278561757,-0.7666658941036844,21.267656,0.113398574,18.56368,0.015035676,17.171198,0.013950397,16.518446,0.015546299,16.13437,0.017759051,16.0172,0.0048212647
SDSS J095623.23-004536.2,149.09683090306223,-0.7600775494019767,15.754479,0.019159917,14.641466,0.013423184,14.25387,0.013549015,14.11734,0.01529535,14.10151,0.016854312,14.096,0.0017502427
SDSS J095552.02-004633.8,148.96675967618842,-0.776067821579217,21.562603,0.12750433,19.206932,0.017991262,17.785828,0.0157153,17.135262,0.019979501,16.743309,0.025742749,16.6412,0.007166996
SDSS J095554.78-004930.4,148.97826967109194,-0.8251295300631569,20.718386,0.07290121,18.494768,0.014840366,17.709005,0.014269587,17.434938,0.015976084,17.334076,0.021012917,17.2244,0.010570436
SDSS J095603.14-005007.0,149.01310104732627,-0.8353048053675117,20.99614,0.088429056,20.742956,0.032329224,20.585917,0.034786046,20.303843,0.04009206,20.2861,0.14900821,20.0794,0.113751136
SDSS J095548.91-004601.9,148.95382215669565,-0.7671965609262753,21.900301,0.19524297,20.960333,0.036555793,20.53407,0.032847594,20.301737,0.039562725,20.409082,0.16451299,20.8928,0.22479802
SDSS J095615.89-004645.0,149.06621260248062,-0.7791842667100801,20.591017,0.06438389,19.237623,0.017347172,18.721113,0.01822897,18.553015,0.021512594,18.401237,0.03348789,18.4569,0.026929978
SDSS J095558.25-004825.9,148.99271475740107,-0.8072085056718928,21.406742,0.12567197,20.552,0.028603045,20.13514,0.026198518,20.024256,0.033123657,19.809965,0.094004005,20.0037,0.10303689
SDSS J095602.08-004857.5,149.00869534346154,-0.8159898432937218,21.931423,0.19578654,21.118326,0.042223163,20.44035,0.03182812,20.130535,0.035806406,19.972738,0.113573216,20.0553,0.11118279
SDSS J095505.48-005018.3,148.77285553497842,-0.8384325155125625,20.436623,0.0591398,17.760231,0.02082276,16.350582,0.010993077,15.629547,0.010150421,15.228663,0.012001075,15.0271,0.0028882276
SDSS J095509.10-004952.1,148.78794069858927,-0.8311495400120367,21.830803,0.18029526,19.089653,0.022232568,17.732023,0.011752835,16.584986,0.010442652,15.950854,0.012602724,15.7138,0.00416822
SDSS J095554.16-004510.4,148.97567122011844,-0.7528889296213801,20.339254,0.05644193,19.000463,0.015938342,18.42613,0.015160515,18.206303,0.017019985,18.080587,0.027802646,18.1523,0.021090483
SDSS J095631.79-004538.5,149.13245859448372,-0.7607200461856325,21.270267,0.11389606,20.15423,0.023985358,19.672617,0.018419938,19.50674,0.022465186,19.525127,0.07453857,19.5575,0.06797258
SDSS J095632.52-004559.2,149.13553841630676,-0.766446170264995,19.205778,0.029231017,18.242245,0.015802316,17.759624,0.010615862,17.547997,0.012554298,17.437965,0.020413226,17.4866,0.012523778
SDSS J095633.34-004543.9,149.13892276618157,-0.7622084008531991,19.611813,0.0355788,17.041422,0.015109112,15.699826,0.009674907,15.055642,0.011596517,14.687368,0.015657648,14.5209,0.0021456499
SDSS J095635.29-004957.1,149.1470445171895,-0.832532238310156,18.980463,0.026717957,17.59063,0.015295413,17.009924,0.01004668,16.778362,0.011969036,16.649578,0.01731335,16.6342,0.007251135
SDSS J095639.43-004750.3,149.16431707510617,-0.7973081960111515,20.439558,0.055864178,18.649338,0.01642896,17.929117,0.010851453,17.643175,0.01268332,17.44687,0.020567399,17.4059,0.011767252
SDSS J095514.40-004827.2,148.8100333611084,-0.8075794395990684,16.518553,0.020103456,15.127734,0.013818797,14.644754,0.011781464,14.488865,0.01403194,14.406243,0.012069095,14.413,0.002071114
SDSS J095519.56-004721.8,148.83150930284805,-0.7893933305448522,16.943108,0.020477634,15.512688,0.013837495,14.969865,0.01179411,14.775721,0.014042154,14.686796,0.012137991,14.7,0.0023945514
SDSS J095516.69-004718.0,148.8195785695934,-0.7883347064103158,21.878756,0.18930316,19.447435,0.01749418,18.070225,0.013016186,17.44605,0.0147584025,17.031168,0.015635418,16.9774,0.008750992
SDSS J095518.93-004611.9,148.82891039964818,-0.7699781712154787,19.982964,0.04516026,17.576853,0.0143227875,16.591927,0.012029574,16.212746,0.014214428,15.970894,0.012955134,15.9096,0.0045536016
SDSS J095521.00-004521.2,148.8375048526006,-0.7559128358041768,21.511362,0.13888189,20.01521,0.021606408,19.544006,0.018701289,19.298574,0.021496464,19.242247,0.06033538,19.3253,0.054719836
SDSS J095522.82-004724.2,148.84509282796336,-0.7900577271589502,19.23023,0.030922135,17.684153,0.014363094,17.071245,0.012180037,16.825377,0.014382148,16.674349,0.014310081,16.6948,0.0073141693
