name,ra,dec,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,yAperMag3_AB,yAperMag3Err_AB
SDSS J104555.53-005506.6,161.4813925862689,-0.918515250675203,16.704973,0.025314733,15.300284,0.019895352,14.8077545,0.02009382,14.625721,0.012728689,14.555117,0.018192353,14.5934,0.002046807
SDSS J104601.59-005251.4,161.50665490182502,-0.8809681017660872,16.716063,0.025319535,15.389652,0.019897614,14.9339,0.020096967,14.809013,0.012738096,14.771829,0.018243596,14.7811,0.002252133
SDSS J104559.15-005319.9,161.49648491084122,-0.8888837376907835,19.595327,0.034493648,18.30437,0.020550482,17.740932,0.020527454,17.512484,0.013511559,17.370157,0.022039209,17.427,0.009383724
SDSS J104602.59-005045.7,161.5108204761171,-0.8460485146105797,21.744051,0.11205846,19.400938,0.02216193,18.46637,0.021103714,18.132906,0.014379848,17.9304,0.02618025,17.9711,0.013347647
SDSS J104604.00-005407.2,161.516685759668,-0.9020024998569802,20.96691,0.06761217,18.435831,0.020634014,17.242134,0.020339023,16.777916,0.0130616585,16.50154,0.019396862,16.4284,0.005193466
SDSS J104606.94-005507.0,161.5289285194453,-0.9186111484634966,20.837723,0.06017141,19.498936,0.022432253,18.942554,0.021895409,18.728346,0.016295096,18.598469,0.035882182,18.6324,0.021958908
SDSS J104608.33-010251.8,161.53473632726883,-1.0477273648166896,20.781761,0.05904357,18.082464,0.020402895,16.987146,0.020283243,16.614368,0.013020235,16.407724,0.019319452,16.3605,0.005072197
SDSS J104610.19-005208.5,161.542491098401,-0.8690296916050261,21.151426,0.07676212,19.831173,0.023535114,19.230919,0.022656243,18.978981,0.01751583,18.91132,0.04614915,18.9452,0.02820437
SDSS J104512.60-005849.1,161.30253129834284,-0.98031127673286,20.719301,0.052156,18.894344,0.02127276,18.181936,0.01725671,17.83705,0.014152555,17.600552,0.021579035,17.6535,0.010780649
SDSS J104514.08-010219.7,161.30869429968885,-1.038817680728764,22.013723,0.1397329,19.382517,0.022320444,18.34067,0.017419986,17.911789,0.014277532,17.697403,0.022552706,17.6732,0.011040069
